RACE_TRACK,RACE_DATE,POS,DRIVER,CAR,MANUFACTURER,LAPS,START,LED,PTS,BONUS,PENALTY
Bristol,2021-03-28 00:00:00,17,Kyle Busch,18,Toyota,253,4,7,20,0,0
Bristol,2021-03-28 00:00:00,18,Ryan Preece,37,Chevrolet,253,22,0,19,0,0
Bristol,2021-03-28 00:00:00,19,Martin Truex Jr.,19,Toyota,253,5,126,35,0,17
Bristol,2021-03-28 00:00:00,20,Chase Briscoe,14,Ford,252,25,0,17,0,0
Bristol,2021-03-28 00:00:00,21,Austin Dillon,3,Chevrolet,252,9,0,16,0,0
Bristol,2021-03-28 00:00:00,22,Alex Bowman,48,Chevrolet,252,7,0,15,0,0
Bristol,2021-03-28 00:00:00,23,Stewart Friesen,77,Chevrolet,252,32,0,0,0,0
Bristol,2021-03-28 00:00:00,24,Cole Custer,41,Ford,252,21,0,13,0,0
Bristol,2021-03-28 00:00:00,25,Quin Houff,00,Chevrolet,252,33,0,12,0,0
Bristol,2021-03-28 00:00:00,26,Ty Dillon,96,Toyota,252,39,0,0,0,0
Bristol,2021-03-28 00:00:00,27,Bubba Wallace,23,Toyota,251,19,0,18,0,8
Bristol,2021-03-28 00:00:00,28,J.J. Yeley,53,Chevrolet,249,34,0,0,0,0
Bristol,2021-03-28 00:00:00,29,Kyle Larson,5,Chevrolet,248,1,0,8,0,0
Bristol,2021-03-28 00:00:00,30,Josh Bilicki,52,Ford,247,37,0,7,0,0
Bristol,2021-03-28 00:00:00,31,Mike Marlar,66,Toyota,244,38,0,6,0,0
Bristol,2021-03-28 00:00:00,32,Cody Ware,51,Chevrolet,242,31,0,0,0,0
Bristol,2021-03-28 00:00:00,33,Chris Windom,15,Chevrolet,62,36,0,4,0,0
Bristol,2021-03-28 00:00:00,34,Christopher Bell,20,Toyota,54,15,0,3,0,0
Bristol,2021-03-28 00:00:00,35,Ross Chastain,42,Chevrolet,52,17,0,2,0,0
Bristol,2021-03-28 00:00:00,36,Aric Almirola,10,Ford,39,23,0,1,0,0
Bristol,2021-03-28 00:00:00,37,Shane Golobic,78,Ford,39,35,0,1,0,0
